Âge,Niveau,Matière,Objectif principal,Évalué par
16,Confirmé,Sciences naturelles,"""Explorer les forces physiques, comme la gravité et la friction, dans des contextes pratiques.""",IA
16,Avancé,Sciences naturelles,"""Examiner les impacts des activités humaines sur les écosystèmes et la biodiversité.""",Humain
16,Expert,Sciences naturelles,"""Concevoir et réaliser des expériences pour tester des hypothèses scientifiques.""",Humain
16,Maître,Sciences naturelles,"""Interpréter des données issues d’expériences pour tirer des conclusions fiables.""",IA
17,Initié,Sciences naturelles,"""Appliquer les principes de la mécanique pour résoudre des problèmes complexes.""",IA
17,Apprenti,Sciences naturelles,"""Analyser des phénomènes optiques, comme la réflexion et la réfraction, dans des systèmes réels.""",IA
17,Praticien,Sciences naturelles,"""Étudier les dynamiques des populations et leurs interactions dans des écosystèmes complexes.""",Humain
17,Confirmé,Sciences naturelles,"""Utiliser des outils numériques pour modéliser des phénomènes biologiques ou physiques.""",IA
17,Avancé,Sciences naturelles,"""Explorer des problématiques environnementales, comme la gestion des ressources et les énergies renouvelables.""",IA
17,Expert,Sciences naturelles,"""Proposer des solutions aux enjeux scientifiques globaux, comme la pollution ou le changement climatique.""",Humain
17,Maître,Sciences naturelles,"""Présenter des résultats de recherche sous forme de rapports détaillés ou de présentations multimédias.""",Humain
5,Initié,Histoire géographie et société,"""Reconnaître les membres de sa famille et expliquer leur rôle dans le foyer.""",Humain
5,Apprenti,Histoire géographie et société,"""Comprendre les routines quotidiennes et leur importance (ex. : repas, école, sommeil).""",Humain
5,Praticien,Histoire géographie et société,"""Identifier les lieux familiers comme la maison, l’école et les magasins.""",IA
5,Confirmé,Histoire géographie et société,"""Comprendre les concepts simples de passé, présent et futur à travers des histoires.""",IA
5,Avancé,Histoire géographie et société,"""Nommer les principales caractéristiques de son environnement local (parcs, rivières, montagnes).""",IA
5,Expert,Histoire géographie et société,"""Observer des objets ou images liés à des événements ou traditions culturelles.""",Humain
5,Maître,Histoire géographie et société,"""Participer à des discussions simples sur le partage et la coopération dans la communauté.""",Humain
6,Initié,Histoire géographie et société,"""Décrire des événements marquants dans sa propre vie ou celle de sa famille.""",Humain
6,Apprenti,Histoire géographie et société,"""Utiliser des cartes simples pour localiser sa ville ou des endroits familiers.""",IA
6,Praticien,Histoire géographie et société,"""Reconnaître les différences entre les saisons et leurs impacts sur les activités humaines.""",IA
6,Confirmé,Histoire géographie et société,"""Explorer les traditions et fêtes locales pour mieux comprendre sa culture.""",Humain
6,Avancé,Histoire géographie et société,"""Discuter des métiers et des rôles des adultes dans sa communauté.""",Humain
6,Expert,Histoire géographie et société,"""Comparer les modes de vie actuels avec ceux du passé à travers des récits.""",Humain
6,Maître,Histoire géographie et société,"""Participer à des projets collaboratifs liés à l’histoire locale ou à l’environnement.""",Humain
7,Initié,Histoire géographie et société,"""Identifier les symboles nationaux, comme le drapeau ou l’hymne national.""",Humain
7,Apprenti,Histoire géographie et société,"""Comprendre les bases des règles et lois à travers des jeux ou des activités en classe.""",Humain
7,Praticien,Histoire géographie et société,"""Découvrir des cultures et traditions d’autres pays à travers des contes ou des images.""",Humain
7,Confirmé,Histoire géographie et société,"""Utiliser des cartes et des globes pour apprendre les concepts de pays, continents et océans.""",IA
7,Avancé,Histoire géographie et société,"""Participer à des activités locales pour contribuer à la communauté (ex. : nettoyage d’un parc).""",Humain
7,Expert,Histoire géographie et société,"""Discuter de la nécessité de protéger l’environnement et proposer des idées simples.""",Humain
7,Maître,Histoire géographie et société,"""Créer des projets simples, comme des dessins ou des affiches, pour représenter des lieux ou des événements.""",Humain
8,Initié,Histoire géographie et société,"""Identifier des événements historiques majeurs et leur importance.""",Humain
8,Apprenti,Histoire géographie et société,"""Localiser des continents, des océans et des pays sur une carte.""",IA
8,Praticien,Histoire géographie et société,"""Comprendre les traditions et les cultures locales à travers des récits simples.""",IA
8,Confirmé,Histoire géographie et société,"""Créer des chronologies basiques pour organiser les événements dans le temps.""",IA
8,Avancé,Histoire géographie et société,"""Observer comment les environnements naturels influencent les activités humaines.""",IA
8,Expert,Histoire géographie et société,"""Comparer les modes de vie passés et présents dans une société donnée.""",Humain
8,Maître,Histoire géographie et société,"""Participer à des discussions sur des valeurs partagées dans la communauté.""",Humain
9,Initié,Histoire géographie et société,"""Explorer les causes et les effets des changements historiques importants.""",Humain
9,Apprenti,Histoire géographie et société,"""Analyser les impacts de la géographie sur le développement des civilisations.""",IA
9,Praticien,Histoire géographie et société,"""Cartographier des caractéristiques géographiques, comme les montagnes et les rivières.""",IA
9,Confirmé,Histoire géographie et société,"""Étudier les liens entre les échanges commerciaux et la culture.""",IA
9,Avancé,Histoire géographie et société,"""Découvrir les contributions des grandes figures historiques.""",Humain
9,Expert,Histoire géographie et société,"""Discuter des enjeux actuels, comme la protection de l’environnement ou la mondialisation.""",Humain
9,Maître,Histoire géographie et société,"""Proposer des solutions à des défis sociaux locaux simples.""",Humain
10,Initié,Histoire géographie et société,"""Comprendre les systèmes économiques et leur influence sur les sociétés.""",Humain
10,Apprenti,Histoire géographie et société,"""Étudier l'évolution des droits et des responsabilités des citoyens à travers l'histoire.""",Humain
10,Praticien,Histoire géographie et société,"""Analyser les impacts des migrations sur les cultures et les économies.""",Humain
10,Confirmé,Histoire géographie et société,"""Utiliser des outils comme les graphiques pour comprendre les données géographiques.""",IA
10,Avancé,Histoire géographie et société,"""Examiner les relations entre les nations et leurs alliances historiques.""",Humain
10,Expert,Histoire géographie et société,"""Participer à des simulations pour résoudre des conflits ou organiser des projets communautaires.""",Humain
10,Maître,Histoire géographie et société,"""Explorer des exemples concrets d’interdépendance mondiale, comme le commerce international.""",Humain
11,Initié,Histoire géographie et société,"""Évaluer les révolutions et les transformations majeures dans l’histoire.""",Humain
11,Apprenti,Histoire géographie et société,"""Analyser les interactions entre les politiques, les cultures et l’économie à travers le temps.""",Humain
11,Praticien,Histoire géographie et société,"""Étudier les défis globaux actuels, comme les crises migratoires ou les inégalités économiques.""",Humain
11,Confirmé,Histoire géographie et société,"""Utiliser des systèmes d'information géographique pour analyser des ressources naturelles.""",IA
11,Avancé,Histoire géographie et société,"""Créer des projets sur des thèmes historiques complexes, comme les guerres mondiales.""",Humain
11,Expert,Histoire géographie et société,"""Proposer des plans pour améliorer la durabilité ou l’équité dans une société donnée.""",Humain
11,Maître,Histoire géographie et société,"""Débattre de l'impact des choix politiques et économiques sur le monde contemporain.""",Humain
12,Initié,Histoire géographie et société,"""Identifier les contributions majeures des civilisations anciennes, comme l'Égypte et la Grèce.""",Humain
12,Apprenti,Histoire géographie et société,"""Localiser des événements historiques sur des cartes chronologiques simples.""",IA
12,Praticien,Histoire géographie et société,"""Comprendre les relations entre les ressources naturelles et le développement des civilisations.""",IA
12,Confirmé,Histoire géographie et société,"""Analyser les causes et les effets des révolutions majeures (industrielle, scientifique).""",Humain
12,Avancé,Histoire géographie et société,"""Étudier les échanges culturels et économiques dans des sociétés passées.""",Humain
12,Expert,Histoire géographie et société,"""Participer à des discussions sur les valeurs partagées dans l’histoire des sociétés.""",Humain
12,Maître,Histoire géographie et société,"""Créer des diagrammes simples pour illustrer des relations historiques ou géographiques.""",IA
13,Initié,Histoire géographie et société,"""Analyser les défis environnementaux actuels, comme le changement climatique et la déforestation.""",Humain
13,Apprenti,Histoire géographie et société,"""Étudier les impacts de la colonisation sur les sociétés et les cultures locales.""",Humain
13,Praticien,Histoire géographie et société,"""Interpréter des données géographiques à partir de cartes, de graphiques et de diagrammes.""",IA
13,Confirmé,Histoire géographie et société,"""Examiner les relations entre les nations à travers des alliances et des conflits historiques.""",Humain
13,Avancé,Histoire géographie et société,"""Étudier l’interdépendance des économies mondiales et les systèmes commerciaux.""",Humain
13,Expert,Histoire géographie et société,"""Proposer des solutions à des enjeux environnementaux globaux, comme la gestion des ressources.""",Humain
13,Maître,Histoire géographie et société,"""Créer des présentations ou des projets sur les interactions historiques et contemporaines.""",Humain
14,Initié,Histoire géographie et société,"""Analyser les effets de la mondialisation sur les cultures, les politiques et les économies.""",Humain
14,Apprenti,Histoire géographie et société,"""Étudier les organisations internationales et leur rôle dans les défis mondiaux.""",Humain
14,Praticien,Histoire géographie et société,"""Examiner les relations entre les cultures à travers des échanges linguistiques et artistiques.""",Humain
14,Confirmé,Histoire géographie et société,"""Développer des chronologies complexes pour montrer les liens entre des événements globaux.""",Humain
14,Avancé,Histoire géographie et société,"""Proposer des stratégies pour la conservation et la gestion des ressources naturelles.""",Humain
14,Expert,Histoire géographie et société,"""Créer des projets collaboratifs pour aborder des questions sociales ou environnementales locales.""",Humain
14,Maître,Histoire géographie et société,"""Débattre des impacts des choix politiques et économiques sur le développement mondial.""",Humain
15,Initié,Histoire géographie et société,"""Identifier les causes et les conséquences des révolutions majeures dans l’histoire mondiale.""",Humain
15,Apprenti,Histoire géographie et société,"""Analyser les impacts des conflits mondiaux comme les guerres mondiales sur les sociétés et les frontières.""",Humain
15,Praticien,Histoire géographie et société,"""Étudier l’évolution des droits humains à travers des événements historiques clés.""",Humain
15,Confirmé,Histoire géographie et société,"""Explorer les relations entre les ressources naturelles et le développement économique.""",IA
15,Avancé,Histoire géographie et société,"""Comprendre les bases des alliances internationales et des relations géopolitiques modernes.""",Humain
15,Expert,Histoire géographie et société,"""Lire et interpréter des cartes historiques et contemporaines pour visualiser les changements géographiques.""",IA
15,Maître,Histoire géographie et société,"""Participer à des discussions sur des sujets historiques ou géographiques en utilisant des preuves solides.""",Humain
16,Initié,Histoire géographie et société,"""Comparer les systèmes politiques et économiques de différentes époques et régions.""",Humain
16,Apprenti,Histoire géographie et société,"""Analyser des sources primaires et secondaires pour comprendre les perspectives historiques.""",Humain
16,Praticien,Histoire géographie et société,"""Étudier les impacts de la colonisation sur les cultures locales et les économies globales.""",Humain
16,Confirmé,Histoire géographie et société,"""Examiner les enjeux contemporains comme la mondialisation, la migration et le développement durable.""",Humain
16,Avancé,Histoire géographie et société,"""Créer des cartes thématiques ou des graphiques illustrant des tendances géographiques.""",IA
16,Expert,Histoire géographie et société,"""Explorer les défis actuels liés à la gestion des ressources naturelles à l’échelle mondiale.""",Humain
16,Maître,Histoire géographie et société,"""Collaborer sur des projets de recherche liés à des thèmes historiques ou géographiques.""",Humain
17,Initié,Histoire géographie et société,"""Analyser l’influence des grandes figures historiques et des idéologies sur les sociétés modernes.""",Humain
17,Apprenti,Histoire géographie et société,"""Étudier les enjeux géopolitiques contemporains comme les conflits territoriaux ou les alliances stratégiques.""",Humain
17,Praticien,Histoire géographie et société,"""Proposer des solutions pratiques à des problèmes sociaux ou environnementaux mondiaux.""",Humain
17,Confirmé,Histoire géographie et société,"""Utiliser des systèmes d’information géographique (SIG) pour analyser des données spatiales complexes.""",IA
17,Avancé,Histoire géographie et société,"""Organiser des débats sur des thèmes historiques ou géopolitiques en utilisant des arguments étayés.""",Humain
17,Expert,Histoire géographie et société,"""Créer des projets interdisciplinaires intégrant histoire, géographie et enjeux actuels.""",Humain
17,Maître,Histoire géographie et société,"""Présenter des recherches approfondies sur des sujets historiques ou géographiques sous forme de rapports ou d’expositions.""",Humain
5,Initié,Arts et créativité,"""Explorer différents matériaux, comme les crayons, peintures et pâte à modeler.""",Humain
5,Apprenti,Arts et créativité,"""Reproduire des formes simples comme des cercles, des triangles ou des lignes ondulées.""",Humain
5,Praticien,Arts et créativité,"""Créer des dessins ou des peintures inspirés de la nature ou d’histoires entendues.""",Humain
5,Confirmé,Arts et créativité,"""Participer à des activités musicales simples, comme chanter des chansons ou frapper des rythmes.""",Humain
5,Avancé,Arts et créativité,"""Expérimenter avec des couleurs pour mélanger et créer de nouvelles teintes.""",Humain
5,Expert,Arts et créativité,"""Observer et décrire ce qu’ils voient dans des œuvres d’art simples ou des illustrations.""",Humain
5,Maître,Arts et créativité,"""Partager leurs créations avec leurs camarades et expliquer ce qu’elles représentent.""",Humain
6,Initié,Arts et créativité,"""Utiliser des outils comme des ciseaux, pinceaux ou tampons pour réaliser des projets artistiques.""",Humain
6,Apprenti,Arts et créativité,"""Créer des personnages ou des scènes pour illustrer une histoire ou une idée.""",Humain
6,Praticien,Arts et créativité,"""Découvrir les bases des rythmes en tapant des séquences ou en jouant des instruments simples.""",Humain
6,Confirmé,Arts et créativité,"""Représenter des émotions à travers des dessins ou des peintures.""",Humain
6,Avancé,Arts et créativité,"""Collaborer avec d’autres pour créer une fresque ou un collage collectif.""",Humain
6,Expert,Arts et créativité,"""Étudier les œuvres d’art locales ou historiques et en discuter les thèmes principaux.""",Humain
6,Maître,Arts et créativité,"""Apprendre à respecter et apprécier les œuvres des autres lors de discussions en groupe.""",Humain
7,Initié,Arts et créativité,"""Réaliser des projets intégrant plusieurs techniques, comme le collage et la peinture.""",Humain
7,Apprenti,Arts et créativité,"""Créer des compositions plus complexes en utilisant des motifs et des textures.""",Humain
7,Praticien,Arts et créativité,"""Exprimer des idées ou des histoires à travers des productions artistiques uniques.""",Humain
7,Confirmé,Arts et créativité,"""Apprendre à utiliser la lumière et l’ombre pour donner de la profondeur aux créations.""",Humain
7,Avancé,Arts et créativité,"""Explorer les bases du mouvement et de l’expression corporelle à travers des activités comme la danse.""",Humain
7,Expert,Arts et créativité,"""Créer des œuvres en trois dimensions à l’aide de matériaux recyclés ou naturels.""",Humain
7,Maître,Arts et créativité,"""Présenter leurs œuvres lors d’un événement de classe ou une exposition locale.""",Humain
8,Initié,Arts et créativité,"""Explorer différents matériaux, comme les crayons, peintures et pastels, pour créer des œuvres simples.""",Humain
8,Apprenti,Arts et créativité,"""Reproduire des motifs et formes inspirés de la nature ou de l’art.""",Humain
8,Praticien,Arts et créativité,"""Exprimer des idées à travers des dessins ou peintures avec des thèmes simples.""",Humain
8,Confirmé,Arts et créativité,"""Observer et discuter des œuvres d'art locales ou historiques.""",Humain
8,Avancé,Arts et créativité,"""Participer à des activités musicales simples, comme chanter des comptines.""",Humain
8,Expert,Arts et créativité,"""Créer des personnages ou des scènes dans des histoires illustrées.""",Humain
8,Maître,Arts et créativité,"""Présenter des projets artistiques à des pairs, en expliquant leur inspiration.""",Humain
9,Initié,Arts et créativité,"""Utiliser des techniques artistiques, comme l’ombrage ou le mélange des couleurs.""",Humain
9,Apprenti,Arts et créativité,"""Composer des rythmes musicaux simples ou jouer des mélodies faciles.""",Humain
9,Praticien,Arts et créativité,"""Collaborer pour créer des œuvres collectives, comme des fresques ou des pièces musicales.""",Humain
9,Confirmé,Arts et créativité,"""Explorer différents styles artistiques et discuter de leur origine.""",Humain
9,Avancé,Arts et créativité,"""Réaliser des projets multimédias, combinant texte, image ou son.""",Humain
9,Expert,Arts et créativité,"""Analyser le message ou l’émotion transmis par une œuvre d’art.""",Humain
9,Maître,Arts et créativité,"""Créer un projet artistique lié à une thématique, comme l’environnement ou l’identité.""",Humain
10,Initié,Arts et créativité,"""Apprendre la perspective et appliquer des techniques avancées dans des dessins ou peintures.""",Humain
10,Apprenti,Arts et créativité,"""Étudier des genres musicaux variés et leurs impacts culturels.""",Humain
10,Praticien,Arts et créativité,"""Composer des pièces musicales ou des rythmes en utilisant des logiciels de création.""",IA
10,Confirmé,Arts et créativité,"""Créer des costumes ou des décors pour des performances scéniques.""",Humain
10,Avancé,Arts et créativité,"""Réaliser des sculptures ou des modèles en 3D avec des matériaux variés.""",Humain
10,Expert,Arts et créativité,"""Développer un portfolio artistique en vue de présenter un style ou une progression personnelle.""",Humain
10,Maître,Arts et créativité,"""Critiquer des œuvres d’art en utilisant un vocabulaire artistique précis.""",Humain
11,Initié,Arts et créativité,"""Collaborer sur des productions artistiques interdisciplinaires, comme des spectacles ou des films.""",Humain
11,Apprenti,Arts et créativité,"""Analyser l’évolution des mouvements artistiques et leur influence sociale.""",Humain
11,Praticien,Arts et créativité,"""Concevoir des projets artistiques complexes intégrant des éléments numériques.""",IA
11,Confirmé,Arts et créativité,"""Expérimenter avec des techniques ou matériaux non conventionnels pour innover.""",Humain
11,Avancé,Arts et créativité,"""Produire une performance musicale ou théâtrale originale en collaboration.""",Humain
11,Expert,Arts et créativité,"""Créer un projet artistique engagé, abordant des enjeux sociaux ou environnementaux.""",Humain
11,Maître,Arts et créativité,"""Présenter des œuvres ou performances devant un public avec assurance et créativité.""",Humain
12,Initié,Arts et créativité,"""Explorer différents médiums artistiques, comme le fusain, l'aquarelle et les outils numériques.""",Humain
12,Apprenti,Arts et créativité,"""Créer des œuvres simples en appliquant les principes de base de composition (équilibre, contraste).""",Humain
12,Praticien,Arts et créativité,"""Reproduire des styles artistiques en s’inspirant d’artistes ou de mouvements connus.""",Humain
12,Confirmé,Arts et créativité,"""Expérimenter avec des matériaux pour découvrir de nouvelles textures et effets visuels.""",Humain
12,Avancé,Arts et créativité,"""Participer à des projets collaboratifs, comme des fresques ou des installations artistiques.""",Humain
12,Expert,Arts et créativité,"""Observer et discuter des émotions ou messages véhiculés dans des œuvres d’art.""",Humain
12,Maître,Arts et créativité,"""Présenter ses créations en expliquant les choix artistiques et l’inspiration.""",Humain
13,Initié,Arts et créativité,"""Réaliser des projets combinant plusieurs techniques, comme le collage et le dessin numérique.""",Humain
13,Apprenti,Arts et créativité,"""Créer des personnages ou décors pour des performances scéniques ou des récits illustrés.""",Humain
13,Praticien,Arts et créativité,"""Composer des rythmes ou des mélodies en explorant des bases de théorie musicale.""",Humain
13,Confirmé,Arts et créativité,"""Analyser des œuvres d’art historiques et modernes pour comprendre leur contexte culturel.""",Humain
13,Avancé,Arts et créativité,"""Concevoir des projets artistiques thématiques liés à des enjeux sociaux ou environnementaux.""",Humain
13,Expert,Arts et créativité,"""Collaborer sur des productions artistiques interdisciplinaires, comme des spectacles ou des vidéos.""",Humain
13,Maître,Arts et créativité,"""Critiquer des œuvres d’art en utilisant un vocabulaire artistique précis et constructif.""",Humain
14,Initié,Arts et créativité,"""Créer des compositions complexes en utilisant des techniques avancées, comme la perspective.""",Humain
14,Apprenti,Arts et créativité,"""Explorer des formes d’art numérique, comme l’animation ou le design graphique.""",IA
14,Praticien,Arts et créativité,"""Produire des performances musicales ou théâtrales originales avec une narration créative.""",Humain
14,Confirmé,Arts et créativité,"""Développer un portfolio artistique mettant en valeur les compétences et l’évolution personnelle.""",Humain
14,Avancé,Arts et créativité,"""Analyser l’évolution des styles artistiques et leur impact sur la société.""",Humain
14,Expert,Arts et créativité,"""Concevoir des projets artistiques expérimentaux en utilisant des matériaux ou approches innovants.""",Humain
14,Maître,Arts et créativité,"""Présenter et défendre une vision artistique lors d’expositions ou d’événements publics.""",Humain
15,Initié,Arts et créativité,"""Explorer des médiums variés, comme la peinture, la photographie et la création numérique.""",Humain
15,Apprenti,Arts et créativité,"""Reproduire des œuvres classiques en utilisant des techniques d’imitation et d’analyse.""",Humain
15,Praticien,Arts et créativité,"""Étudier les principes de composition, comme l’équilibre, le contraste et l’harmonie.""",Humain
15,Confirmé,Arts et créativité,"""Créer des œuvres originales en s’inspirant de thèmes sociaux ou personnels.""",Humain
15,Avancé,Arts et créativité,"""Analyser l’impact culturel et historique des mouvements artistiques majeurs.""",Humain
15,Expert,Arts et créativité,"""Participer à des activités collaboratives, comme des fresques ou des installations.""",Humain
15,Maître,Arts et créativité,"""Présenter ses créations en expliquant les choix artistiques devant un groupe.""",Humain
16,Initié,Arts et créativité,"""Développer des compétences avancées dans un médium spécifique, comme l’animation ou le design graphique.""",IA
16,Apprenti,Arts et créativité,"""Créer des projets multimédias combinant texte, image, son et vidéo.""",IA
16,Praticien,Arts et créativité,"""Analyser des œuvres d’art en explorant les intentions de l’artiste et les réactions du public.""",Humain
16,Confirmé,Arts et créativité,"""Expérimenter avec des matériaux innovants ou recyclés pour des créations durables.""",Humain
16,Avancé,Arts et créativité,"""Participer à des productions scéniques, comme la conception de costumes ou de décors.""",Humain
16,Expert,Arts et créativité,"""Collaborer avec des pairs pour réaliser des projets artistiques interdisciplinaires.""",Humain
16,Maître,Arts et créativité,"""Organiser des expositions pour présenter des œuvres dans des espaces physiques ou virtuels.""",Humain
17,Initié,Arts et créativité,"""Créer des œuvres complexes explorant des thèmes philosophiques, sociaux ou environnementaux.""",Humain
17,Apprenti,Arts et créativité,"""Utiliser des logiciels avancés pour produire des visuels professionnels ou des animations.""",IA
17,Praticien,Arts et créativité,"""Réaliser des performances artistiques intégrant théâtre, musique ou arts visuels.""",Humain
17,Confirmé,Arts et créativité,"""Développer un portfolio d’œuvres reflétant une progression technique et conceptuelle.""",Humain
17,Avancé,Arts et créativité,"""Analyser les interactions entre l’art, la technologie et la société dans des projets créatifs.""",Humain
17,Expert,Arts et créativité,"""Participer à des concours ou événements artistiques pour partager des perspectives uniques.""",Humain
17,Maître,Arts et créativité,"""Présenter et défendre des œuvres dans des contextes publics ou académiques, en justifiant les choix créatifs.""",Humain
5,Initié,Éducation physique et santé,"""Apprendre à courir, sauter et lancer avec coordination et équilibre.""",Humain
5,Apprenti,Éducation physique et santé,"""Participer à des jeux simples favorisant la motricité de base, comme attraper une balle.""",Humain
5,Praticien,Éducation physique et santé,"""Comprendre l’importance de bouger chaque jour pour rester en bonne santé.""",Humain
5,Confirmé,Éducation physique et santé,"""Suivre des consignes simples pour des exercices collectifs ou individuels.""",Humain
5,Avancé,Éducation physique et santé,"""Découvrir les bases de l’hygiène personnelle, comme se laver les mains correctement.""",Humain
5,Expert,Éducation physique et santé,"""Explorer différents types de mouvements à travers des activités ludiques, comme la danse.""",Humain
5,Maître,Éducation physique et santé,"""Discuter des raisons pour lesquelles il est important de manger des aliments sains.""",Humain
6,Initié,Éducation physique et santé,"""Améliorer les habiletés motrices en ajoutant de la précision, comme viser une cible.""",Humain
6,Apprenti,Éducation physique et santé,"""Participer à des activités physiques qui nécessitent un travail d’équipe, comme des relais.""",Humain
6,Praticien,Éducation physique et santé,"""Reconnaître les effets de l’activité physique sur le corps, comme le souffle ou les battements cardiaques.""",Humain
6,Confirmé,Éducation physique et santé,"""Apprendre des exercices d’étirement pour améliorer la flexibilité et éviter les blessures.""",Humain
6,Avancé,Éducation physique et santé,"""Découvrir les bases des règles des jeux ou sports simples, comme le respect des tours.""",Humain
6,Expert,Éducation physique et santé,"""Identifier des aliments qui donnent de l’énergie et favorisent une bonne santé.""",Humain
6,Maître,Éducation physique et santé,"""Proposer des idées pour rester actif en famille ou avec des amis.""",Humain
7,Initié,Éducation physique et santé,"""Appliquer des techniques pour coordonner des mouvements plus complexes, comme sauter à la corde.""",Humain
7,Apprenti,Éducation physique et santé,"""Participer à des circuits d’activités physiques pour améliorer l’endurance et la force.""",Humain
7,Praticien,Éducation physique et santé,"""Comprendre comment le sommeil aide le corps à récupérer après l’exercice.""",Humain
7,Confirmé,Éducation physique et santé,"""Explorer des jeux et activités traditionnels d’autres cultures.""",Humain
7,Avancé,Éducation physique et santé,"""Apprendre à se calmer après une activité physique intense grâce à des exercices de respiration.""",Humain
7,Expert,Éducation physique et santé,"""S’engager dans des discussions sur l’importance de respecter les autres lors d’activités collectives.""",Humain
7,Maître,Éducation physique et santé,"""Créer une routine personnelle d’activité physique adaptée à leur quotidien.""",Humain
8,Initié,Éducation physique et santé,"""Apprendre les bases de la coordination, comme courir, sauter et attraper.""",Humain
8,Apprenti,Éducation physique et santé,"""Participer à des jeux simples favorisant le travail d’équipe et le fair-play.""",Humain
8,Praticien,Éducation physique et santé,"""Découvrir les bases d’une alimentation saine et équilibrée.""",Humain
8,Confirmé,Éducation physique et santé,"""Pratiquer des exercices d’échauffement et d’étirement pour éviter les blessures.""",Humain
8,Avancé,Éducation physique et santé,"""Comprendre l’importance de l’hygiène personnelle, comme le lavage des mains.""",Humain
8,Expert,Éducation physique et santé,"""S’amuser tout en explorant des activités physiques variées.""",Humain
8,Maître,Éducation physique et santé,"""Discuter des bienfaits de l’exercice pour la santé physique et mentale.""",Humain
9,Initié,Éducation physique et santé,"""Améliorer les habiletés sportives spécifiques, comme dribbler ou lancer avec précision.""",Humain
9,Apprenti,Éducation physique et santé,"""Fixer des objectifs de remise en forme simples, comme courir une distance donnée.""",Humain
9,Praticien,Éducation physique et santé,"""Reconnaître les signes de fatigue ou de stress et apprendre à y répondre.""",Humain
9,Confirmé,Éducation physique et santé,"""Explorer des sports individuels et d’équipe pour découvrir ses préférences.""",Humain
9,Avancé,Éducation physique et santé,"""Comprendre l’impact des choix alimentaires sur la performance physique.""",Humain
9,Expert,Éducation physique et santé,"""Participer à des activités pour améliorer l’endurance et la force musculaire.""",Humain
9,Maître,Éducation physique et santé,"""Discuter de l’importance de la prévention des blessures dans les activités sportives.""",Humain
10,Initié,Éducation physique et santé,"""Appliquer des stratégies pour mieux collaborer dans des sports d’équipe complexes.""",Humain
10,Apprenti,Éducation physique et santé,"""Planifier une routine d’entraînement adaptée à des objectifs personnels.""",Humain
10,Praticien,Éducation physique et santé,"""Analyser les avantages du sommeil et de la gestion du stress sur la santé globale.""",Humain
10,Confirmé,Éducation physique et santé,"""Pratiquer des techniques avancées, comme la respiration contrôlée pour la relaxation.""",Humain
10,Avancé,Éducation physique et santé,"""Participer à des compétitions sportives en mettant en avant l’esprit sportif.""",Humain
10,Expert,Éducation physique et santé,"""Découvrir l’anatomie de base pour mieux comprendre le fonctionnement du corps.""",Humain
10,Maître,Éducation physique et santé,"""Créer un plan d’action pour améliorer sa condition physique sur le long terme.""",Humain
11,Initié,Éducation physique et santé,"""Développer des stratégies avancées pour améliorer la performance sportive.""",Humain
11,Apprenti,Éducation physique et santé,"""Analyser les données personnelles pour optimiser un programme de remise en forme.""",Humain
11,Praticien,Éducation physique et santé,"""Participer activement à des activités de sensibilisation à la santé publique.""",Humain
11,Confirmé,Éducation physique et santé,"""Comprendre l’importance de l’équilibre entre activité physique, nutrition et bien-être mental.""",Humain
11,Avancé,Éducation physique et santé,"""Créer des routines sportives intégrées pour améliorer à la fois la force, l’endurance et la souplesse.""",Humain
11,Expert,Éducation physique et santé,"""Collaborer pour organiser des événements sportifs ou des campagnes de promotion de la santé.""",Humain
11,Maître,Éducation physique et santé,"""Encourager les autres en agissant comme mentor ou leader dans des contextes de santé et de fitness.""",Humain
12,Initié,Éducation physique et santé,"""Apprendre les techniques de base pour améliorer l’endurance, la force et la flexibilité.""",Humain
12,Apprenti,Éducation physique et santé,"""Participer à des activités sportives en équipe pour développer la collaboration et l’esprit sportif.""",Humain
12,Praticien,Éducation physique et santé,"""Comprendre les bases de la nutrition et leur impact sur les performances physiques.""",Humain
12,Confirmé,Éducation physique et santé,"""Établir des routines d’échauffement et d’étirement pour prévenir les blessures.""",Humain
12,Avancé,Éducation physique et santé,"""Découvrir l’importance de l’hygiène de vie, comme le sommeil et la gestion du stress.""",Humain
12,Expert,Éducation physique et santé,"""S’engager dans des activités physiques variées pour explorer ses préférences.""",Humain
12,Maître,Éducation physique et santé,"""Discuter des bienfaits de l’exercice pour la santé physique, mentale et sociale.""",Humain
13,Initié,Éducation physique et santé,"""Fixer des objectifs personnels de remise en forme et planifier des étapes pour les atteindre.""",Humain
13,Apprenti,Éducation physique et santé,"""Analyser les facteurs influençant les performances physiques, comme la motivation ou l’hydratation.""",Humain
13,Praticien,Éducation physique et santé,"""Explorer des sports individuels et collectifs pour découvrir des techniques avancées.""",Humain
13,Confirmé,Éducation physique et santé,"""Participer à des compétitions amicales en mettant en avant l’esprit sportif et la stratégie.""",Humain
13,Avancé,Éducation physique et santé,"""Évaluer les progrès physiques à l’aide d’outils comme des applications ou des journaux de suivi.""",Humain
13,Expert,Éducation physique et santé,"""Comprendre les concepts de base liés à l’anatomie et à la physiologie humaine.""",Humain
13,Maître,Éducation physique et santé,"""Proposer des solutions pour intégrer des habitudes de vie actives dans un emploi du temps chargé.""",Humain
14,Initié,Éducation physique et santé,"""Appliquer des stratégies avancées pour améliorer la performance dans des sports spécifiques.""",Humain
